Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
E. 5th St.<br>East Village<br>Manhattan,40.7224452961828,-73.9786505699157,Manhattan,East Village,N/A,Film,http://imdb.com/title/tt0092494/,N/A,,Y,190,,Y
New York County Courthouse<br>40 Foley Square<br>Lower Manhattan,40.7137000000000,-74.0079000000000,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0050083/,"New York County
Courthouse on Foley Square.",,Y,40,,Y
W. 47th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.7592204876521,-73.9846211671829,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0337563/,"47th St. and 7th Ave. Times Square
Manhattan",,Y,239,,Y
E. 60-66th St. and Madison Ave.<br>Upper East Side<br>Manhattan,40.7661000000000,-73.9696000000000,Manhattan,Upper East Side,Chases,Film,http://www.imdb.com/title/tt0179626/,60-66th and Madison,,Y,82,,N
World Trade Center<br>Lower Manhattan,40.7117926273691,-74.0123283863067,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0307901/,World Trade Center,,Y,93,,Y
Carl Schurz Park<br>Upper East Side<br>Manhattan,40.7750655922650,-73.9431273937225,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0307901/,Carl Schurz Park btwn 84th and 85th and promenade,,Y,209,,Y
Long Island City,40.7460702458493,-73.9503800868988,Queens,Queens,N/A,Film,http://www.imdb.com/title/tt0120787/,Long Island City,,Y,141,N,N
Statue of Liberty<br>Liberty Island<br>New York Harbor,40.6895873134383,-74.0437960624694,Manhattan,New York Harbor,N/A,Film,http://www.imdb.com/title/tt0059798/,"Statue of Liberty, Liberty Island, New York Harbor",poor quality,Y,51,,Y
New York Harbor,40.6989909067436,-74.0384960174560,Manhattan,New York Harbor,N/A,Film,http://imdb.com/title/tt0112286/,,,Y,,,Y
Mercer and Grand<br>SoHo<br>Manhattan,40.7213000000000,-74.0015000000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0088680/,SoHo,,Y,154,N,N
E. 95th St. off Madison Ave.<br>Upper East Side<br>Manhattan,40.7866000000000,-73.9547000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0099012/,95th Street off Madison Avenue,,Y,224,,N
Chinatown<br>Manhattan,40.7162165380157,-73.9980804920196,Manhattan,Chinatown,N/A,Film,http://www.imdb.com/title/tt0144084/,Chinatown,,Y,140,,Y
Mercer St. between Spring and Broome<br>SoHo<br>Manhattan,40.7225591322924,-74.0002906322479,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0078444/,SoHo,,Y,152-153,N,N
Coney Island<br>Brooklyn,40.5736092162742,-73.9759683609008,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0075686/,Coney Island boardwalk,,Y,136,,N
Pier 11<br>Manhattan,40.7042046109406,-74.0060251951217,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0075686/,Pier 11,,Y,121,,N
Foot of 59th St. Bridge<br>Upper East Side<br>Manhattan,40.7578064331838,-73.9596283435821,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0075686/,foot of 58th street bridge,,N,,,N
E. 68th St. between Park Ave. and Madison Ave.<br>Upper East Side<br>Manhattan,40.7689067645632,-73.9666020870208,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0075686/,68th Street bet Park and Madison Aves,,Y,114,,N
W. 95th St.<br>Upper West Side<br>Manhattan,40.7916379656320,-73.9665377140045,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0075686/,West 95th Street,,Y,222,,Y
Bergdorf's at 754 Fifth Ave.<br>Midtown<br>Manhattan,40.7633340000000,-73.9738910000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0082031/,"in front of Bergorf's, 5th Ave at 58th street",,N,,,Y
Sixth Ave. between 11th St. and 12th St.<br>West Village<br>Manhattan,40.7354050994831,-73.9983165264129,Manhattan,West Village,N/A,Film,http://imdb.com/title/tt0119822/,Sixth Avenue btwn 11th ansd 12th St east side of 6th Ave,,Y,206,,Y
