Film,Year,IMDB LINK,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
*batteries not included,1987,http://imdb.com/title/tt0092494/,batteriesnotincluded_pf,Courtesy of Photofest,Directed by,Matthew Robbins,http://imdb.com/name/nm0730422/
12 Angry Men,1957,http://imdb.com/title/tt0050083/,12AngryMen_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/
13 Going on 30,2004,http://www.imdb.com/title/tt0337563/,13Goingon30_ec,"Courtesy of Everett Collection, Inc.",Directed by,Gary Winick,http://imdb.com/name/nm0935095/
15 Minutes,2001,http://www.imdb.com/title/tt0179626/,,,Directed by,John Herzfeld,http://imdb.com/name/nm0381273/
25th Hour,2002,http://www.imdb.com/title/tt0307901/,25thHour1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
25th Hour,2002,http://www.imdb.com/title/tt0307901/,25thHour2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
A Perfect Murder,1998,http://www.imdb.com/title/tt0120787/,,,Directed by,Andrew Davis,http://imdb.com/name/nm0001112/
A Thousand Clowns,1965,http://www.imdb.com/title/tt0059798/,AThousandClowns_pf,Courtesy of Photofest,Directed by,Fred Coe,http://imdb.com/name/nm0168641/
Across the Sea of Time,1997,http://imdb.com/title/tt0112286/,AcrossTheSeaOfTime_pf,Courtesy of Photofest,Directed by,Stephen Low,http://imdb.com/name/nm0522844/
After Hours,1985,http://www.imdb.com/title/tt0088680/,,,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Alice,1990,http://www.imdb.com/title/tt0099012/,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
American Psycho,2000,http://www.imdb.com/title/tt0144084/,AmericanPyscho_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/
An Unmarried Woman,1978,http://www.imdb.com/title/tt0078444/,,,Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Annie Hall,1977,http://www.imdb.com/title/tt0075686/,AnnieHall2_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Arthur,1981,http://www.imdb.com/title/tt0082031/,Arthur_pf,Courtesy of Photofest,Directed by,Steve Gordon,http://imdb.com/name/nm0330619/
As Good As It Gets,1997,http://imdb.com/title/tt0119822/,AsGoodAsitgets_pf,Courtesy of Photofest,Directed by,James L. Brooks,http://imdb.com/name/nm0000985/
Barefoot in the Park,1967,http://www.imdb.com/title/tt0061385/,BarefootinthePark2_pf,Courtesy of Photofest,Directed by,Gene Saks,http://imdb.com/name/nm0757256/
Barefoot in the Park,1967,http://www.imdb.com/title/tt0061385/,BarefootinthePark1_pf,Courtesy of Photofest,Directed by,Gene Saks,http://imdb.com/name/nm0757256/
Basquiat,1996,http://www.imdb.com/title/tt0115632/,Basquiat_pf,Courtesy of Photofest,Directed by,Julian Schnabel,http://imdb.com/name/nm0773603/
Bed of Roses,1996,http://www.imdb.com/title/tt0115644/,,,Directed by,Michael Goldenberg,http://imdb.com/name/nm0325533/
BIG,1988,http://www.imdb.com/title/tt0094737/,Big_pf,Courtesy of Photofest,Directed by,Penny Marshall,http://imdb.com/name/nm0001508/
Blue in the Face,1995,http://www.imdb.com/title/tt0112541/,,,Directed by,"Paul Auster,Wayne Wang","http://imdb.com/name/nm0000808/,http://imdb.com/name/nm0911061/"
Breakfast at Tiffany's,1961,http://www.imdb.com/title/tt0054698/,BreakfastatTiffanys3_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/
Breakfast at Tiffany's,1961,http://www.imdb.com/title/tt0054698/,BreakfastatTiffanys2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/
Breakfast at Tiffany's,1961,http://www.imdb.com/title/tt0054698/,BreakfastatTiffanys1_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/
Broadway Danny Rose,1984,http://www.imdb.com/title/tt0087003/,BroadwayDannyRose_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Cagney & Lacey,1982-1988,http://imdb.com/title/tt0083395/,CagneyandLacey_pf,Courtesy of Photofest,Created by,"Barbara Avedon,Barbara Corday,(more)","http://imdb.com/name/nm0042853/,http://imdb.com/name/nm0179400/,http://imdb.com/title/tt0083395/fullcredits#writers"
Center Stage,2000,http://www.imdb.com/title/tt0210616/,,,Directed by,Nicholas Hytner,http://imdb.com/name/nm0405336/
Chasing Amy,1997,http://www.imdb.com/title/tt0118842/,,,Directed by,Kevin Smith,http://imdb.com/name/nm0003620/
Chelsea Walls,2001,http://www.imdb.com/title/tt0226935/,ChelseaWalls_pf,Courtesy of Photofest,Directed by,Ethan Hawke,http://imdb.com/name/nm0000160/
Clockers,1995,http://www.imdb.com/title/tt0112688/,Clockers2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Coogan's Bluff,1968,http://www.imdb.com/title/tt0062824/,CoogansBluff_pf,Courtesy of Photofest,Directed by,Don Siegel,http://imdb.com/name/nm0796923/
Cotton Comes to Harlem,1970,http://imdb.com/title/tt0065579/,,,Directed by,Ossie Davis,http://imdb.com/name/nm0001115/
Crocodile Dundee,1986,http://imdb.com/title/tt0090555/,CrocodileDundee3_pf,Courtesy of Photofest,Directed by,Peter Faiman,http://imdb.com/name/nm0265363/
Crocodile Dundee II,1988,http://www.imdb.com/title/tt0092493/,CrocodileDundee4_pf,Courtesy of Photofest,Directed by,John Cornell,http://imdb.com/name/nm0180259/
Crooklyn,1994,http://www.imdb.com/title/tt0109504/,crooklyn1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Crossing Delancey,1988,http://www.imdb.com/title/tt0094921/,,,Directed by,Joan Micklin Silver,http://imdb.com/name/nm0798717/
Cruising,1980,http://www.imdb.com/title/tt0080569/,Cruising_pf,Courtesy of Photofest,Directed by,William Friedkin,http://imdb.com/name/nm0001243/
